store,purchases,revenue,gross_profit,cash_revenue,cashless_revenue,receipts_total,writeoffs_copy,writeoffs_frozen,movement,discount,revaluation,cash_operating_costs,driver_cash,utilities_cash,rent,bank_fee,gross_profit_tax,salary_cashless,payroll_tax,vacation_cashless,vacation_tax,salary_cash,vacation_cash,personal_income_tax,expenses,net_profit,gross_margin,net_margin,best_month,best_month_profit,worst_month,worst_month_profit,loss_months,formula_count,gross_profit_tax_cost,bank_fee_cost,personal_income_tax_cost,payroll_total,writeoffs_total,net_stock_movement,inventory_net_effect,operating_store,active_store,primary_cost_driver,primary_cost_driver_amount,excess_cost_driver,excess_cost_amount,narrative,loss_month_names,reported_month_count
КИР2,8498552.0,11628165.0,3129613.0,2246058.0,9287792.0,11533850.0,176109.0,6618.0,-2645.0,17243.0,5564.0,47950.0,224000.0,278320.0,500000.0,-185755.84000000003,-375553.56,537948.0,216338.0,186828.0,93414.0,373499.0,0.0,-92718.78,11617495.18,10669.820000000063,0.26914074576685143,0.0009175841588075215,Март,109853.89999999998,Июль,-167433.97999999998,3,6484,375553.56,185755.84000000003,92718.78,1500745.78,182727.0,-2645.0,-14324.0,True,True,ФОТ и налоги,1500745.78,ФОТ и налоги,378056.5984587993,"Маржа 0.1% ниже сети (4.9%); основной резерв — ФОТ и налоги 378,057 руб.","Апрель, Июнь, Июль",8
РОС,7550666.0,10292231.0,2741565.0,1769272.0,8390032.0,10159304.0,143807.0,99983.0,-8177.0,9698.0,5000.0,120339.0,104000.0,430306.0,400000.0,-167800.64,-328987.8,526349.0,184219.0,93400.0,46700.0,267934.0,0.0,-85420.06,10406104.5,-113873.49999999996,0.2663722763315359,-0.011064024894116732,Март,83875.15999999999,Май,-172192.69999999998,4,6484,328987.8,167800.64,85420.06,1204022.06,243790.0,-8177.0,-12875.0,True,True,ФОТ и налоги,1204022.06,Коммунальные платежи,305684.9893727304,"Убыток 113,873 руб. при марже -1.1%; главный резерв — Коммунальные платежи 305,685 руб. сверх медианной доли сети.","Апрель, Май, Июнь, Июль",8
ПЗ1,8203895.0,10943511.0,2739616.0,1744918.0,8875378.0,10620296.0,259670.0,32474.0,-14638.0,20030.0,7403.0,99824.0,104000.0,70000.0,760000.0,-177507.56000000003,-328753.92000000004,615422.0,281393.0,93608.0,46804.0,202551.0,0.0,-66522.5,11082754.98,-139243.98,0.25034159512427046,-0.012723885414836244,Август,132801.84000000003,Июль,-204676.32,6,6484,328753.92000000004,177507.56000000003,66522.5,1306300.5,292144.0,-14638.0,-27265.0,True,True,ФОТ и налоги,1306300.5,Аренда,348152.5166795408,"Убыток 139,244 руб. при марже -1.3%; главный резерв — Аренда 348,153 руб. сверх медианной доли сети.","Январь, Февраль, Апрель, Май, Июнь, Июль",8
МОН,12184188.0,16422123.0,4237935.0,2214140.0,13715413.0,15929553.0,97055.0,7981.0,-16032.0,26049.0,33822.0,242000.0,224000.0,605000.0,600000.0,-274308.26,-508552.2,676356.0,296069.0,185237.0,92618.0,536050.0,0.0,-171171.0,16603530.46,-181407.45999999988,0.2580625537879603,-0.01104652912415769,Апрель,138490.62,Июль,-216862.94,5,6484,508552.2,274308.26,171171.0,1957501.0,105036.0,-16032.0,-8259.0,True,True,ФОТ и налоги,1957501.0,Коммунальные платежи,406156.6622527877,"Убыток 181,407 руб. при марже -1.1%; главный резерв — Коммунальные платежи 406,157 руб. сверх медианной доли сети.","Февраль, Март, Май, Июнь, Июль",8
МИРА,6432466.0,8823399.0,2390933.0,1132388.0,7619567.0,8751955.0,66322.0,27944.0,-31372.0,29152.0,20018.0,150095.0,104000.0,0.0,536000.0,-152391.34,-286911.96,670983.0,256538.0,93400.0,46700.0,176463.0,0.0,-71842.76,9005735.06,-182336.06,0.27097641169803155,-0.020665058896237154,Март,58030.98000000001,Май,-182622.98,4,6484,286911.96,152391.34,71842.76,1315926.76,94266.0,-31372.0,-40506.0,True,True,ФОТ и налоги,1315926.76,ФОТ и налоги,464035.2877237252,"Убыток 182,336 руб. при марже -2.1%; главный резерв — ФОТ и налоги 464,035 руб. сверх медианной доли сети.","Апрель, Май, Июнь, Июль",8
П.ЗОР,11975846.0,16578033.0,4602187.0,1890141.0,14314055.0,16204196.0,12883.0,30000.0,4928.0,1826.0,40028.0,639099.0,702000.0,0.0,822500.0,-286281.10000000003,-552262.4400000001,632022.0,244953.0,187297.0,93648.0,429332.0,0.0,-235054.82,16830295.36,-252262.36,0.2776075424629689,-0.015216664124145487,Февраль,121990.62,Май,-216910.98,3,6484,552262.4400000001,286281.10000000003,235054.82,1822306.82,42883.0,4928.0,43130.0,True,True,ФОТ и налоги,1822306.82,Наличные операционные траты,479180.52309986064,"Убыток 252,262 руб. при марже -1.5%; главный резерв — Наличные операционные траты 479,181 руб. сверх медианной доли сети.","Апрель, Май, Июнь",8
УМБА,6178814.0,8391036.0,2212222.0,2328513.0,6141176.0,8469689.0,78987.0,13168.0,0.0,12569.0,11402.0,109029.0,160000.0,288424.0,325000.0,-122823.52,-265466.64,728789.0,276333.0,93831.0,46916.0,92914.0,0.0,-44427.46,8745935.62,-354899.62000000005,0.2636411046264132,-0.04229508966473271,Август,106263.81999999998,Май,-169866.72,6,6484,265466.64,122823.52,44427.46,1283210.46,92155.0,0.0,-1167.0,True,True,ФОТ и налоги,1283210.46,ФОТ и налоги,473063.2580018557,"Убыток 354,900 руб. при марже -4.2%; главный резерв — ФОТ и налоги 473,063 руб. сверх медианной доли сети.","Январь, Февраль, Март, Апрель, Май, Июль",8
МАК,5836911.0,7977956.0,2141045.0,1348926.0,6765936.0,8114862.0,8655.0,21454.0,0.0,13404.0,12877.0,154932.0,104000.0,0.0,600000.0,-135318.72,-256925.4,394762.0,184219.0,93414.0,46707.0,449294.0,93000.0,-153389.72,8524326.84,-546370.84,0.2683701188625257,-0.06848506559825598,Март,55145.52000000002,Июль,-227662.82,6,6484,256925.4,135318.72,153389.72,1414785.72,30109.0,0.0,-527.0,True,True,ФОТ и налоги,1414785.72,ФОТ и налоги,644521.0314604315,"Убыток 546,371 руб. при марже -6.8%; главный резерв — ФОТ и налоги 644,521 руб. сверх медианной доли сети.","Январь, Апрель, Май, Июнь, Июль, Август",8
С3,6071416.0,8149460.0,2078044.0,1012262.0,7762689.0,8774951.0,10995.0,1574.0,300449.0,13716.0,11505.0,210744.0,180000.0,184000.0,272000.0,-155253.78,-249365.28,287887.0,117625.0,93000.0,46500.0,560465.0,93000.0,-190125.98,8712956.04,-563496.04,0.2549916190766014,-0.06914519980464964,Март,4929.5,Июль,-195133.06,7,6484,249365.28,155253.78,190125.98,1388602.98,12569.0,300449.0,298238.0,True,True,ФОТ и налоги,1388602.98,ФОТ и налоги,601779.7299512818,"Убыток 563,496 руб. при марже -6.9%; главный резерв — ФОТ и налоги 601,780 руб. сверх медианной доли сети.","Январь, Февраль, Апрель, Май, Июнь, Июль, Август",8
НИК,7394332.0,9942876.0,2548544.0,1355379.0,8311914.0,9667293.0,215221.0,461.0,-10000.0,33738.0,2500.0,112043.0,288000.0,260979.0,760000.0,-166238.28,-305825.28,666317.0,269996.0,187265.0,93632.0,179100.0,0.0,-64051.46,10748240.02,-805364.02,0.25631859433829807,-0.08099910126607231,Январь,-927.1799999999848,Апрель,-204839.08,8,6484,305825.28,166238.28,64051.46,1460361.46,215682.0,-10000.0,-41238.0,True,True,ФОТ и налоги,1460361.46,ФОТ и налоги,500385.4604673439,"Убыток 805,364 руб. при марже -8.1%; главный резерв — ФОТ и налоги 500,385 руб. сверх медианной доли сети.","Январь, Февраль, Март, Апрель, Май, Июнь, Июль, Август",8
Н95,10038474.0,13733730.0,3695256.0,2691210.0,11092229.0,13783439.0,59435.0,188493.0,-6400.0,41966.0,26071.0,425337.0,104000.0,438000.0,450248.0,-221844.58,-443430.72,576523.0,267315.0,186600.0,46800.0,1032677.0,77500.0,-337813.08,14835055.38,-1101325.38,0.2690642673184925,-0.08019127942663791,Март,-15318.579999999973,Февраль,-264045.94,8,6484,443430.72,221844.58,337813.08,2525228.08,247928.0,-6400.0,-22295.0,True,True,ФОТ и налоги,2525228.08,ФОТ и налоги,1199248.4354724383,"Убыток 1,101,325 руб. при марже -8.0%; главный резерв — ФОТ и налоги 1,199,248 руб. сверх медианной доли сети.","Январь, Февраль, Март, Апрель, Май, Июнь, Июль, Август",8
