store,month,month_number,stock_open,stock_close,purchase_smoked,purchase_frozen,sales_smoked,sales_frozen,purchases,revenue,gross_profit,cash_revenue,cashless_revenue,receipts_total,writeoff_smoked,writeoff_frozen,movement,discount,revaluation,household,delivery,cleaning,bonus,service_bonus,extra_pay,driver_cash,utilities_cash,other_cash_expenses,cash_operating_total,driver_cashless,utilities_cashless,rent,bank_fee_raw,gross_profit_tax_raw,salary_cashless,payroll_tax,vacation_cashless,vacation_tax,salary_cash,vacation_cash,personal_income_tax_raw,bank_fee,gross_profit_tax,personal_income_tax,driver_total,utilities_total,payroll_total,net_profit,frozen_sales_share,smoked_markup,frozen_markup,inventory_effect
К80,Январь,1,774104.0,836048.0,543936.0,556645.0,697472.0,816154.0,1100581.0,1513626.0,413045.0,215080.0,1188337.0,1403417.0,38089.0,6022.0,0.0,4890.0,736.0,0.0,0.0,6000.0,6000.0,2000.0,0.0,0.0,0.0,0.0,14000.0,13000.0,0.0,65000.0,-23766.74,-49565.399999999994,55835.0,0.0,0.0,0.0,41900.0,0.0,-12298.0,23766.74,49565.399999999994,12298.0,13000.0,0.0,110033.0,131657.86000000002,0.5392045326916953,0.28226850217672667,0.46620197792129636,-4154.0
К80,Февраль,2,836048.0,694575.0,406513.0,519635.0,521604.0,769285.0,926148.0,1290889.0,364741.0,161853.0,1225760.0,1387613.0,22964.0,5172.0,-18214.0,7544.0,9145.0,0.0,0.0,11000.0,0.0,2000.0,0.0,0.0,0.0,0.0,13000.0,13000.0,0.0,65000.0,-24515.200000000004,-43768.92,59214.0,52634.0,0.0,0.0,42200.0,0.0,-12144.0,24515.200000000004,43768.92,12144.0,13000.0,0.0,166192.0,34092.880000000005,0.5959342747517409,0.2831176370743371,0.4804333811232885,-16613.0
К80,Март,3,694575.0,775173.0,542755.0,671729.0,691081.0,975096.0,1214484.0,1666177.0,451693.0,223578.0,1347548.0,1571126.0,14852.0,9555.0,0.0,1536.0,11490.0,1018.0,0.0,11000.0,0.0,2000.0,0.0,0.0,0.0,0.0,14018.0,13000.0,0.0,65000.0,-26950.960000000003,-54203.15999999999,59215.0,32896.0,0.0,0.0,49900.0,0.0,-14061.96,26950.960000000003,54203.15999999999,14061.96,13000.0,0.0,156072.96,112892.92000000001,0.585229540438981,0.2732835257160229,0.45162111506277086,9954.0
К80,Апрель,4,775173.0,699165.0,628819.0,435812.0,802638.0,641712.0,1064631.0,1444350.0,379719.0,235998.0,1226754.0,1462752.0,53267.0,0.0,0.0,4755.0,416.0,1365.0,0.0,4000.0,6000.0,2000.0,0.0,0.0,0.0,0.0,13365.0,13000.0,21741.0,65000.0,-24535.08,-45566.279999999984,59215.0,36510.0,0.0,0.0,45900.0,0.0,-13038.3,24535.08,45566.279999999984,13038.3,13000.0,21741.0,154663.3,41848.34000000001,0.44429120365562363,0.27642135495269704,0.4724514240085174,-4339.0
К80,Май,5,699165.0,604190.0,587220.0,442514.0,741504.0,627168.0,1029734.0,1368672.0,338938.0,165183.0,1195359.0,1360542.0,96799.0,4294.0,0.0,5512.0,3500.0,0.0,0.0,6000.0,0.0,2000.0,0.0,0.0,0.0,0.0,8000.0,13000.0,22000.0,65000.0,-23907.18,-40672.55999999998,59215.0,36509.0,0.0,0.0,37380.0,0.0,-9983.6,23907.18,40672.55999999998,9983.6,13000.0,22000.0,143087.6,18976.66000000001,0.4582310443992425,0.2627362828241545,0.4172839729364495,-2012.0
К80,Июнь,6,604190.0,686238.0,746315.0,481722.0,933302.0,692650.0,1228037.0,1625952.0,397915.0,256694.0,1092480.0,1349174.0,189545.0,3148.0,0.0,7986.0,5949.0,1384.0,0.0,6000.0,0.0,3000.0,0.0,0.0,0.0,0.0,10384.0,13000.0,22000.0,65000.0,-21849.600000000002,-47749.799999999996,59215.0,36509.0,0.0,20000.0,46323.0,73000.0,-28535.54,21849.600000000002,47749.799999999996,28535.54,13000.0,22000.0,263582.54,-48798.939999999966,0.4259965853850544,0.25054702102999404,0.43786250160881174,-2037.0
К80,Июль,7,686238.0,567596.0,548715.0,394900.0,690408.0,568272.0,943615.0,1258680.0,315065.0,161493.0,1162433.0,1323926.0,43332.0,2627.0,0.0,7437.0,0.0,311.0,0.0,2000.0,12000.0,2000.0,0.0,0.0,0.0,0.0,16311.0,13000.0,22000.0,65000.0,-23248.66,-37807.799999999996,52635.0,26317.0,0.0,0.0,55864.0,0.0,-15878.5,23248.66,37807.799999999996,15878.5,13000.0,22000.0,150694.5,-15623.959999999992,0.45148250548193347,0.2582269484158443,0.4390276019245379,-7437.0
К80,Август,8,567596.0,647772.0,760822.0,516440.0,945021.0,741902.0,1277262.0,1686923.0,409661.0,208364.0,1277565.0,1485929.0,125926.0,0.0,0.0,940.0,6048.0,3316.0,0.0,4000.0,0.0,1266.0,0.0,0.0,0.0,0.0,8582.0,13000.0,25000.0,195000.0,-25551.3,-49159.31999999999,27329.0,14565.0,0.0,0.0,52500.0,0.0,-13438.04,25551.3,49159.31999999999,13438.04,13000.0,25000.0,107832.04000000001,-14463.659999999982,0.43979600728663965,0.24210524932244334,0.4365695918209279,5108.0
ПЗ1,Январь,1,759081.0,721116.0,356804.0,379543.0,458826.0,549755.0,736347.0,1008581.0,272234.0,149480.0,859786.0,1009266.0,14956.0,17731.0,740.0,12133.0,6800.0,630.0,0.0,4000.0,3000.0,5000.0,0.0,0.0,0.0,0.0,12630.0,13000.0,35000.0,95000.0,-17195.72,-32668.080000000005,52635.0,0.0,0.0,0.0,38200.0,0.0,-11182.6,17195.72,32668.080000000005,11182.6,13000.0,35000.0,102017.6,-53008.4,0.5450776883562153,0.2859328931290008,0.44846565474794686,-4593.0
ПЗ1,Февраль,2,721116.0,547072.0,477399.0,350005.0,602986.0,521110.0,827404.0,1124096.0,296692.0,251343.0,1035676.0,1287019.0,4430.0,1269.0,-6025.0,0.0,603.0,295.0,0.0,4000.0,0.0,5000.0,0.0,0.0,0.0,0.0,9295.0,13000.0,35000.0,95000.0,-20713.520000000008,-35603.04,52634.0,26317.0,0.0,0.0,49500.0,0.0,-12934.9,20713.520000000008,35603.04,12934.9,13000.0,35000.0,141385.9,-54574.46,0.46358140230015943,0.26306506716603933,0.4888644447936458,-5422.0
